1	1	1	7	2	-999	2
2	1	1	2	2	7	2
3	2	-999	3	2	8	4
4	1	1	4	3	7	-999
5	2	1	3	5	1	1
6	3	1	2	5	8	4
7	1	1	9	5	9	4
8	1	1	8	5	5	3
9	1	1	11	5	4	2
10	8	1	3	5	5	3
11	1	-999	11	5	6	2
12	1	-999	9	5	3	2
13	5	1	6	8	8	3
14	5	1	6	7	4	2
15	3	1	2	3	8	3
16	5	1	2	7	5	3
17	1	1	10	4	5	3
18	1	1	2	4	2	1
19	1	1	4	3	5	3
20	-999	1	3	2	5	3
21	7	1	3	-999	8	2
22	1	1	9	5	4	2
23	1	1	4	3	9	4
24	5	1	2	7	2	1
25	5	1	-999	8	7	4
26	1	1	4	-999	3	2
27	5	1	8	6	3	2
28	1	1	9	6	-999	1
29	1	1	4	5	7	4
30	5	-999	11	8	5	4
31	1	1	2	4	8	4
32	2	1	3	4	-999	2
33	1	1	8	2	9	4
34	5	1	9	6	4	2
35	8	1	11	5	6	4
36	3	1	4	3	7	1
37	9	1	9	-999	4	2
38	1	1	9	-999	3	2
39	1	1	9	4	3	2
40	5	1	9	7	9	3
41	5	1	-9	8	-9	4
42	4	0	12	2	6	2
43	1	1	2	4	1	1
44	1	1	4	5	7	4
45	5	1	4	7	5	3
46	1	1	4	2	9	4
47	1	1	2	3	2	1
48	1	1	2	2	5	3
49	1	1	11	4	2	-999
50	1	1	4	3	1	2
51	5	1	2	7	5	2
52	3	1	-9	3	-9	4
53	1	1	2	4	7	2
54	7	1	8	4	6	1
55	4	0	4	2	4	2
56	3	1	10	5	9	4
57	-999	1	9	6	6	1
58	3	1	2	5	-999	2
59	8	1	5	4	9	4
60	5	1	2	7	5	3
61	1	1	3	3	8	3
62	6	1	-9	2	-9	2
63	1	1	11	6	4	2
64	4	0	5	2	9	2
65	1	1	2	8	4	2
66	5	1	9	7	9	4
67	8	1	-9	3	-9	4
68	3	1	-9	5	-9	4
69	1	1	9	3	3	1
70	8	1	12	5	6	4
71	5	1	5	7	9	3
72	1	1	4	3	1	1
73	5	1	-9	8	-9	4
74	1	1	6	4	1	1
75	3	1	4	-999	9	2
76	5	1	6	8	8	-999
77	1	1	4	4	8	4
78	1	1	2	3	8	3
79	1	1	4	2	7	4
80	2	1	3	5	5	3
81	4	0	10	5	3	2
82	5	1	4	7	4	2
83	5	1	10	6	-999	2
84	5	1	2	8	2	1
85	6	0	-9	2	-9	2
86	5	1	8	6	9	4
87	1	-999	4	5	7	4
88	1	1	9	3	3	2
89	8	1	-9	4	-9	4
90	3	1	3	4	5	3
91	1	1	4	6	4	2
92	8	1	3	3	9	4
93	1	1	4	4	5	3
94	3	1	8	2	9	3
95	-999	1	9	6	2	1
96	1	1	8	3	3	2
97	-999	1	10	5	6	3
98	5	1	-9	7	-999	4
99	2	1	10	4	2	1
100	5	1	2	7	9	4
101	1	1	4	5	7	-999
102	7	1	11	6	6	4
103	1	1	6	6	8	4
104	4	0	-9	2	-9	2
105	1	1	-999	5	6	4
106	-999	1	8	6	9	3
107	3	1	-9	2	-9	3
108	5	1	4	6	-999	4
109	1	1	3	6	5	3
110	3	1	2	3	5	3
111	1	1	2	3	8	3
112	8	1	-9	7	-9	4
113	1	1	11	5	6	3
114	1	1	8	4	4	-999
115	5	1	3	7	5	3
116	3	1	3	5	5	2
117	1	1	10	6	2	1
118	1	1	5	6	9	4
119	1	-999	8	6	9	3
120	1	1	11	4	6	4
121	2	1	2	4	1	2
122	1	1	2	3	4	2
123	1	1	-999	3	7	4
124	1	1	5	3	1	2
125	7	1	8	5	9	4
126	6	0	5	2	8	2
127	1	1	8	5	2	1
128	1	1	-999	2	2	2
129	3	1	3	6	3	4
130	9	1	-9	4	-9	4
131	6	0	-9	2	-9	2
132	1	1	3	4	5	3
133	3	1	2	5	8	4
134	1	1	11	3	2	1
135	1	1	8	4	3	2
136	5	1	8	7	4	2
137	2	1	2	6	-999	2
138	1	1	1	-999	9	4
139	-999	1	4	5	7	4
140	6	1	-9	2	-9	2
141	1	1	11	4	2	2
142	6	0	-9	2	-9	2
143	1	1	12	5	9	4
144	1	1	8	-999	7	2
145	1	1	9	4	3	2
146	7	1	8	3	9	2
147	1	1	7	2	4	2
148	5	1	3	8	4	2
149	6	0	5	2	9	2
150	6	0	-9	2	-9	2
151	3	1	12	5	5	3
152	3	1	-9	2	-9	2
153	1	1	6	3	9	4
154	3	1	3	4	5	3
155	1	1	7	3	7	2
156	1	1	8	5	2	-999
157	1	1	10	5	2	1
158	7	1	-9	3	-9	2
159	1	1	4	4	-999	2
160	1	1	4	5	1	2
161	5	1	4	8	2	1
162	1	1	11	6	2	1
163	1	1	6	3	7	4
164	4	0	12	2	6	2
165	1	1	6	3	2	1
166	1	-999	11	4	2	2
167	5	1	3	8	8	4
168	1	1	9	5	4	2
169	1	1	4	4	1	2
170	1	1	11	5	6	3
171	7	1	5	3	9	4
172	4	0	4	2	7	2
173	5	1	3	8	8	3
174	5	1	4	8	7	4
175	1	1	6	7	9	4
176	1	1	10	3	2	2
177	1	1	4	4	7	3
178	1	1	11	5	4	2
179	5	1	2	8	9	4
180	6	0	-999	2	-9	2
181	1	1	4	4	1	2
182	5	1	10	8	2	1
183	5	1	10	7	2	1
184	5	1	5	7	9	3
185	1	1	5	7	-999	3
186	3	1	5	5	9	4
187	8	1	-9	3	-9	4
188	1	1	8	2	5	-999
189	5	1	4	7	1	2
190	6	0	4	3	7	2
191	1	1	4	6	9	4
192	1	1	10	5	2	1
193	5	1	10	7	2	1
194	9	1	6	3	6	-999
195	5	1	10	8	3	2
196	8	1	-9	4	-9	4
197	7	1	4	3	7	2
198	5	1	11	7	9	4
199	5	1	8	8	9	-999
200	7	1	4	3	7	4
201	3	1	5	-999	5	4
202	1	1	4	5	-999	4
203	3	1	3	2	7	2
204	3	1	2	5	5	4
205	1	1	10	6	2	1
206	8	1	-999	6	6	3
207	1	1	4	5	3	2
208	1	1	-999	5	5	3
209	1	1	8	3	3	2
210	5	1	6	7	8	2
211	1	1	4	2	7	4
212	5	1	9	7	1	1
213	9	1	-9	6	-9	4
214	1	1	9	4	4	2
215	8	1	4	4	9	4
216	5	1	11	7	-999	4
217	1	1	8	3	3	2
218	5	1	-9	7	-9	4
219	5	1	2	6	1	2
220	-999	1	11	6	7	2
221	5	1	9	8	4	2
222	5	1	2	7	1	1
223	-999	1	11	6	9	4
224	7	-999	-9	4	-9	4
225	5	1	4	7	4	2
226	1	-999	7	3	7	2
227	1	1	11	3	2	1
228	5	1	6	7	-999	3
229	1	1	4	6	7	4
230	5	1	9	8	3	2
231	9	1	-9	2	-9	4
232	1	1	10	5	4	2
233	5	1	4	6	7	4
234	1	1	4	4	7	4
235	1	1	12	2	6	3
236	8	1	11	-999	2	1
237	5	1	8	6	8	4
238	1	1	11	5	6	4
239	1	1	2	5	3	2
240	2	1	3	4	5	3
241	1	1	11	3	-999	3
242	6	0	-9	2	-9	2
243	5	1	5	8	9	4
244	1	1	10	6	1	2
245	1	1	12	6	1	2
246	1	1	11	3	2	2
247	1	1	11	4	2	1
248	5	1	-9	6	-999	4
249	-999	1	10	6	2	1
250	1	1	11	5	6	4
251	7	1	10	5	2	4
252	1	1	6	3	7	2
253	2	1	3	4	5	3
254	1	1	-999	4	4	2
255	1	-999	9	7	2	1
256	9	1	-9	2	-9	4
257	1	1	4	3	5	3
258	1	1	4	3	7	2
259	3	1	-999	4	9	4
260	1	1	12	4	6	3
261	5	1	9	8	1	1
262	8	1	2	4	5	4
263	1	1	11	3	2	1
264	1	1	4	3	4	2
265	1	1	10	4	8	4
266	3	1	2	5	3	2
267	7	1	7	4	1	1
268	1	1	10	4	4	2
269	1	1	6	7	4	2
270	1	1	2	3	3	2
271	6	-999	-9	2	-9	2
272	1	1	4	5	7	4
273	5	1	8	8	9	4
274	1	1	-999	8	9	4
275	-999	1	4	5	7	3
276	1	1	5	5	6	3
277	5	1	11	7	6	4
278	1	1	11	-999	4	2
279	1	1	11	6	4	2
280	1	1	10	5	1	-999
281	8	-999	-9	2	-9	4
282	1	1	8	5	-999	4
283	1	1	11	3	6	4
284	1	1	5	5	5	4
285	5	1	7	6	9	3
286	1	1	4	5	7	4
287	1	1	8	6	4	2
288	8	1	4	6	8	4
289	8	1	6	6	9	4
290	1	1	4	6	1	2
291	1	1	9	-999	6	2
292	3	1	2	5	8	4
293	1	-999	11	5	1	2
294	1	1	4	5	5	3
295	3	1	11	3	7	4
296	1	1	4	5	5	-999
