1	2	-9	-9	0	
2	4	-999	-999	0	
3	2	-9	-9	0	
4	4	3	9	1	
5	1	-999	-999	1	
6	2	4	9	0	
7	4	4	11	1	
8	4	6	11	-999	
9	3	8	2	0	
10	4	-999	-999	1	
11	4	8	5	0	
12	4	9	5	1	
13	4	7	4	1	
14	4	2	11	0	
15	2	-999	-999	0	
16	2	3	8	0	
17	4	-999	-999	0	
18	3	5	2	0	
19	4	5	8	0	
20	2	8	3	0	
21	4	9	4	0	
22	3	-999	-999	1	
23	3	5	4	0	
24	1	-999	-999	1	
25	4	2	11	1	
26	4	-999	-999	0	
27	4	8	6	0	
28	2	4	4	1	
29	4	2	11	1	
30	4	8	2	-999	
31	4	-999	-999	1	
32	4	7	4	0	
33	1	6	9	1	
34	2	6	11	1	
35	4	-999	-999	1	
36	1	2	10	1	
37	4	-999	-999	0	
38	1	8	2	0	
39	4	-999	-999	1	
40	3	-999	-999	0	
41	2	6	12	-999	
42	4	2	2	0	
43	1	2	8	1	
44	3	5	3	0	
45	4	7	4	0	
46	4	9	4	0	
47	2	-999	-999	1	
48	4	-9	-9	0	
49	4	5	3	0	
50	4	-9	-9	1	
51	1	9	8	0	
52	4	3	9	1	
53	2	4	11	0	
54	3	5	4	-999	
55	3	8	2	0	
56	4	5	2	0	
57	2	4	6	0	
58	4	7	4	0	
59	4	-999	-999	1	
60	4	-999	-999	1	
61	4	-999	-999	1	
62	1	9	1	0	
63	3	6	11	1	
64	3	5	3	-999	
65	4	9	10	0	
66	3	5	3	0	
67	2	4	9	1	
68	4	1	5	1	
69	2	3	10	1	
70	2	3	2	1	
71	4	3	3	0	
72	3	5	3	0	
73	3	-9	-9	0	
74	4	7	4	1	
75	4	7	4	1	
76	3	9	8	-999	
77	2	-9	-9	0	
78	4	-999	-999	1	
79	4	-999	-999	1	
80	2	8	3	0	
81	2	7	2	1	
82	4	6	12	0	
83	4	-9	-9	1	
84	2	-9	-9	0	
85	3	5	4	0	
86	2	4	2	1	
87	4	7	4	-999	
88	4	9	5	0	
89	4	-999	-999	1	
90	4	7	4	1	
91	4	6	11	1	
92	4	9	9	1	
93	1	2	11	1	
94	4	7	4	1	
95	1	-999	-999	0	
96	2	5	3	0	
97	2	4	8	1	
98	4	6	10	1	
99	1	-999	-999	0	
100	2	1	2	0	
101	3	9	8	-999	
102	2	3	8	0	
103	4	-999	-999	0	
104	2	4	8	1	
105	1	1	4	0	
106	1	-999	-999	0	
107	4	-999	-999	0	
108	4	-999	-999	1	
109	3	-999	-999	0	
110	4	-999	-999	1	
111	4	-999	-999	0	
112	2	-999	-999	1	
113	2	-999	-999	1	
114	1	3	3	0	
115	3	-999	-999	0	
116	4	2	9	1	
117	4	8	2	0	
118	2	9	5	1	
119	1	1	2	0	
120	3	1	4	0	
121	1	-999	-999	0	
122	4	7	4	1	
123	1	2	10	0	
124	2	3	4	1	
125	1	-999	-999	0	
126	2	4	2	1	
127	2	9	4	1	
128	4	8	3	0	
129	4	7	7	1	
130	1	-999	-999	0	
131	2	-999	-999	1	
132	2	3	8	1	
133	2	3	9	1	
134	1	2	2	-999	
135	1	-999	-999	0	
136	2	-999	-999	1	
137	2	1	3	0	
138	4	-9	-9	1	
139	1	1	6	0	
140	2	3	9	0	
141	1	9	8	0	
142	2	7	4	1	
143	2	-999	-999	1	
144	3	-9	-9	1	
145	3	5	2	0	
146	4	9	5	1	
147	3	5	6	0	
148	1	-999	-999	1	
149	4	9	8	1	
150	3	-999	-999	1	
151	4	5	2	0	
152	4	-999	-999	1	
153	2	-9	-9	0	
154	1	1	4	1	
155	2	-999	-999	1	
156	3	-999	-999	0	
157	2	-999	-999	1	
158	2	7	8	0	
159	2	-999	-999	1	
160	4	9	5	1	
161	4	-999	-999	1	
162	4	7	4	1	
163	3	9	7	0	
164	3	5	2	0	
165	4	6	11	1	
166	4	-999	-999	0	
